Post Title,Content Type,Engagement Rate (%),Total Engagement,Impressions,Hashtags,Created Date
"Acies Global in the News: Introducing GreenMath.AI – Where Sustainability Meets Strategy 🚀​ 

We’re excited to share that Acies has launched www.greenmath.ai, a first-of-its-kind Competitive Sustainability platform designed to help businesses compete and win through sustainable innovation.

In today’s market, sustainability is no longer just a compliance task—it’s a competitive edge. GreenMath empowers companies to measure, plan, and evaluate sustainable initiatives while ensuring clear RoI and business value.

🍀 Why this matters:
▪️ Transition from mandate-driven to market-driven sustainability.
▪️Communicate the value of eco-conscious choices to consumers, partners, and communities.
▪️Leverage sustainability as a strategic tool, alongside pricing and branding.

As Vineet Agarwal, our Competitive Sustainability Evangelist, says: “GreenMath transforms green initiatives into a winning strategic paradigm.”

Proud to see Acies Global in the spotlight for driving this critical shift. 
👉 Learn more about how GreenMath is redefining sustainability as a competitive advantage: Read the full release here: https://lnkd.in/g6sb_hJX

#sustainability #innovation #greenmath #news",Image,8.68,212,2441,"#sustainability, #innovation, #greenmath, #news",03/05/2025
"We asked Sundar Bhuvaneswaran to take on a fun challenge: identifying our team members just by listening to their voices! 

Here’s how it went! ✨ 

#fun #team #office ",Video,12.65,253,2000,"#fun, #team, #office",03/04/2025
"We at Acies are excited to reveal GreenMath, a business-first sustainability platform. GreenMath is a platform built with the vision that enterprises must think of Sustainability as a competitive advantage and go beyond regular compliance to make it part of their overall strategy. Brought to you by the Climetrics team, a sustainability practice incubated at Acies Global.

🔗 www.greenmath.ai

#climatetech #sustainability #climetrics ",Image,8.58,536,6245,"#climatetech, #sustainability, #climetrics",02/21/2025
"Here’s Acies Global's perspective on the climate movement: how the climate discourse is evolving and what the future might hold. At Acies, we are dedicated to enabling businesses to be sustainable - not just for reporting, but to use it as a competitive edge. We look forward to sharing some exciting announcements in this area soon. 

https://lnkd.in/gsTu8QjN
 

#sustainability #climatetech #climatechange",Image,9.1,235,2583,"#sustainability, #climatetech, #climatechange",02/17/2025
"How is Acies Global harnessing the power of GenAI to accelerate innovation and reduce time to market? 

Here’s what our founder shared in an exclusive interview with CDO Magazine",Article,6.63,85,1282,Null,02/14/2025
"📢 We're Hiring!

We’re on the lookout for talented individuals to join our team! If your skills and experience align with any of the roles below, we’d love to connect with you.

Open Positions:
🔹 Power BI Analyst
🔹 Data Scientist
🔹 Business Development Executive
🔹 Adobe Consultant
🔹 Data Engineer
🔹 Supply Chain Consultant - o9

📩 Interested? Send your resume to hr.recruit@aciesglobal.com with the position you’re applying for in the subject line.

#hiring #hiringalert #jobs #recruitment ",Image,10.18,2309,22674,"#hiring, #hiringalert, #jobs, #recruitment",02/11/2025
"The people you know. The stories you didn’t. Beyond the keyboards, screens, boardrooms, and meetings. Here's the incredible story of our Kavya Srinivas and her journey of creating meaningful impact!


#innovation #creativity #impact #careers",Video,9.17,186,2028,"#innovation, #creativity, #impact, #careers",02/03/2025
"We are thrilled to welcome a new group of energetic and talented interns to the Acies family. 

Here's to new beginnings and a successful journey together! ✨

#team #interns #talent #hiring
",Image,16.5,1334,8087,"#team, #interns, #talent, #hiring",01/29/2025
"Celebrating the spirit of freedom, unity, and the strength of one of the world's largest democracies. Happy Republic Day! ✨ 


#Republicday #India #2025",Image,4.73,58,1226,"#Republicday, #India, #2025",01/26/2025
"We are thrilled to welcome Shankar Veeraraghavan who joins us as VP - Head of Operations. With an impressive career of over 25 years, Shankar brings extensive experience in multiple client management and delivery management roles in diverse geographies.

His proven ability in driving efficiency in large delivery organizations by streamlining processes makes him a perfect fit for Acies as we continue empowering organizations to unlock value through creation, scaling, and consumption of insights.

Here’s to achieving great #milestones together!",Image,11.19,1018,9097,#milestones,01/21/2025
"In this interview, Mukund Raghunath shares the vision and journey behind Acies, highlighting how we empower organizations in unlocking value through creation, scaling, and consumption of insights.

Della Shea CDO Magazine",Article,5.48,82,1495,Null,01/20/2025
"Makar Sankranti, Pongal, Lohri, Magh Bihu...
The names and traditions may vary, but the spirit of the festival remains the same—celebrating the arrival of spring, honoring abundance, and embracing gratitude.

The entire team at Acies wishes you a prosperous festive season! ✨ 


#celebration #festivities #joy #life #inspiration ",Image,5.85,124,2119,"#celebration, #festivities, #joy, #life, #inspiration",01/13/2025
"Encouraging organizations to consider sustainability initiatives as vital areas of competition, on par with the traditional ones like pricing and quality, Mukund Raghunath  delves into practical aspects of the Acies Perspective on sustainability in this article with AIM Research. https://lnkd.in/g-uncfjh

Kashyap Raibagi 

#sustainability #carbonfootprint #datascience 
",Article,8.3,134,1614,"#sustainability, #carbonfootprint, #datascience",01/10/2025
"Curious about how we address real-world challenges at Acies?
Here's our recent case study on enhancing efficiency for a GenAI Q&A Product.

Know more here: https://lnkd.in/gxT2-RfD

#casestudy #genai #data #research 

Abhibrata Chaudhuri Prithwis Das",Carousel,56.94,861,1512,"#casestudy, #genai, #data, #research",01/08/2025
"We are pleased to announce that Rick D. Blasgen, one of the leading authorities on supply chain management, will be joining our Advisory Board.

Blasgen is president and chief executive officer, emeritus, and current strategic advisor of the Council of Supply Chain Management Professionals (CSCMP) in Lombard, Illinois, USA. He is a trusted source, sought out by many as a preeminent strategist and voice for the future of the discipline. His visionary leadership has significantly influenced the direction of supply chain practices on a global scale. His professional experience provided the foundation for CSCMP to bring contemporary supply chain strategies to the forefront and to develop and provide education and focused training to many companies. He oversaw the development and publication of the Annual State of Logistics Report, which offers a snapshot of the American economy via the lens of the logistics sector and its role in overall supply chains.

Blasgen has an extensive background in the supply chain space, having held leadership positions at leading firms such as Nabisco, Kraft, and ConAgra Foods. Blasgen was designated by the US Department of Commerce in 2011 to serve as the Chair of the Advisory Committee on Supply Chain Competitiveness (ACSCC), providing the Administration advice and counsel on issues and concerns that affect the supply chain sector. 

At Acies, we are honored to have Rick Blasgen’s unparalleled expertise and guidance as we scale our impact in the supply chain space.

Welcome aboard, Rick Blasgen!

We’re excited to shape the future together! 

#SupplyChain #AdvisoryBoard #DigitalTransformation #Analytics #Leadership #Innovation #Acies
",Image,8.08,180,2228,"#SupplyChain, #AdvisoryBoard, #DigitalTransformation, #Analytics, #Leadership, #Innovation, #Acies",01/03/2025
"Join us as we fondly remember the year gone by.

And, here's wishing you all bright days ahead in 2025! ✨

#memories #lookback #throwback #newyear ",Video,12.92,208,1610,"#memories, #lookback, #throwback, #newyear",01/01/2025
"As we move into 2025, we're excited about the possibilities that lie ahead in the data and technology domains.
 
We asked some of our folks at Acies  what they think will be the top trends to look for next year, and here's what they had to say:

#technology #data #trends #Newyear2025 #ai 


Vamsi Priyatham Dr. Geetha M Abhibrata Chaudhuri Loganathan Sivalingam ATHARV B. Preethi Srikanth Diwakar M Hemachandran Udayakumar ",Carousel,88.73,1622,1828,"#technology, #data, #trends, #Newyear2025, #ai",12/31/2024
"We asked our team to share their favorite Christmas 🎅 memories. 
🎄☃️ Here’s what they had to say.

Happy holidays from all of us at Acies!  
#Christmas #holidays #celebration #joy   ",Video,11.35,241,2124,"#Christmas, #holidays, #celebration, #joy",12/24/2024
"Curious about how we address real-world challenges at Acies Global?

Here's our recent case study on enabling an ETL pipeline from GA4 to Snowflake.

To know more, visit: https://lnkd.in/gxT2-RfD

#snowflake #analytics #innovation #data",Carousel,51.4,897,1745,"#snowflake, #analytics, #innovation, #data",12/18/2024
"National Energy Conservation Day: From Thought to Action

This National Energy Conservation Day, we reflect on our progress in addressing climate change. Conserving energy isn’t just a goal—it’s a responsibility to future generations. Small changes like using energy-efficient devices,💡 managing resources wisely, and adopting green energy can greatly reduce our carbon footprint and create a healthier planet. ♻️

We must, however, acknowledge a key challenge: The world is evolving rapidly, and energy sustainability is still an afterthought in organizations. Focus must be on attaining sustainability goals while maximizing both environmental and business value. At Acies Global, we are using advanced analytics and cutting-edge technologies to help make this a competitive advantage.

We leave you with this thought:
""Today's wastage is tomorrow's shortage""

#EnergyConservation #ClimateAction #CorporateSustainability #Climetrics #SustainabilityWithAcies #DataDrivenDecisions
",Image,7.18,85,1184,"#EnergyConservation, #ClimateAction, #CorporateSustainability, #Climetrics, #SustainabilityWithAcies, #DataDrivenDecisions",12/14/2024
"The Acies Team from Bangalore had an absolute blast 💥 during the recent team outing at RR Retreat! It was a great time to strengthen ties and for everyone to bond through many fun activities, like human foosball ⚽, rope courses 🧗‍♀️, cricket 🏏 volleyball, mist dance, and so much more. 

It really shows that at Acies , we know how to have a good time just as much as we know how to beat those deadlines. 🤗",Video,8.37,174,2080,Null,12/12/2024
"We are excited to welcome a new group of interns to Acies Global! 
We look forward to the fresh ideas and insights they will bring to the table as we kick off this new journey together!

#dynamicteam #analytics #technology #datascience 
",Image,16.29,1061,6514,"#dynamicteam, #analytics, #technology, #datascience",12/04/2024
"As Black Friday - the Bellwether for the holiday season sales - approaches, here are some interesting tidbits of shopping trends and buying preferences! Let's dive in together!

#supplychain #blackfriday #analytics #datascience",Carousel,63.94,1654,2587,"#supplychain, #blackfriday, #analytics, #datascience",11/28/2024
"Celebrating Fibonacci! 🎉 The mastermind behind the iconic sequence that transformed mathematics and continues to inspire innovation.

#mathematics #innovation #sequence #statistics",Video,5.63,64,1136,"#mathematics, #innovation, #sequence, #statistics",11/23/2024
"In the first segment of our new blog series, Hemachandran Udayakumar and Eswar E write about Design Patterns, starting with the standard three - Singleton, Factory, and Observer patterns. This guide offers practical insights to simplify software design and improve efficiency.

Read more to explore how these patterns can streamline your development process. 

https://lnkd.in/gTTFkCih

#DesignPatterns #SoftwareDevelopment #technology
",Image,10.34,205,1982,"#DesignPatterns, #SoftwareDevelopment, #technology",11/21/2024
"We are excited to welcome Preethi Srikanth to Acies Global!
Welcome aboard, Preethi! 

#datascience #technology #analytics #lifeatacies",Image,13.69,354,2586,"#datascience, #technology, #analytics, #lifeatacies",11/19/2024
"The people you know. The stories you didn’t. Beyond the keyboards, screens, boardrooms, and meetings. Here's the incredible story of our Nidhi Sooda and her journey of creating meaningful impact!

#creatingimpact #learn #analytics #technology #datascience ",Video,12.63,238,1884,"#creatingimpact, #learn, #analytics, #technology, #datascience",11/12/2024
"It was a complete delight to host Mr. Arvind Nathan, SVP of Private Brands & Sourcing at The Michaels Companies, Inc., at our office.

We had an engaging session packed with valuable insights, where Arvind shared the nuances of running a successful business.
We enjoyed every minute of his visit and look forward to hosting him again soon.

#privatebrands #analytics #datascience #technology #insights",Carousel,73.58,1345,1828,"#privatebrands, #analytics, #datascience, #technology, #insights",11/11/2024
"Reimagining the Data & AI Landscape
In this episode of Simulated Reality, Bhasker Gupta dives into a conversation with our CEO, Mukund Raghunath, on the rapidly changing worlds of data science, engineering, and AI. 

Mukund shares thought-provoking insights on why real-time analytics, scalable models, and a collaborative approach are essential for businesses to thrive in today’s data-driven world.

Watch now for a fresh perspective on the future of data science and AI! 
https://lnkd.in/g3jXRMhx

AIM",Text,4.49,141,3140,Null,11/08/2024
"In this blog, Kumar M explores key analytical concepts that serve as building blocks for effective Assortment Planning ,guiding retailers strike balance between variety and profitability. Dive into the blog to learn how these concepts can help optimize product offerings, drive operational efficiency, and meet diverse customer needs.

https://lnkd.in/gYPCG-SJ

#datascience #analytics #decisiontree #assortmentplanning #optimize #operationalefficiency",Image,6.89,238,3453,"#datascience, #analytics, #decisiontree, #assortmentplanning, #optimize, #operationalefficiency",11/07/2024
"Curious about how we address real-world challenges at Acies Global?
Here's our recent case study on demand forecasting for a renowned industrial manufacturer.

For more information, visit https://lnkd.in/gxT2-RfD

#analytics #technology #datascience #demandforecasting #industry",Carousel,43.7,745,1705,"#analytics, #technology, #datascience, #demandforecasting, #industry",11/04/2024
